date,zip,confirmed_cases,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-4-20,60447,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-4-20,60448,45,0,0,0,0,13,13,0,0,0,19,26,0,21,0,19,0,0,0,0,0
2020-4-20,60449,34,0,0,0,0,0,6,11,0,0,19,15,0,8,11,14,0,0,0,0,0
2020-4-20,60450,14,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,0,0
2020-4-20,60451,44,0,0,0,10,13,7,7,0,0,19,25,0,20,0,22,0,0,0,0,0
2020-4-20,60452,59,0,0,7,10,9,11,12,0,0,34,25,0,19,15,18,0,0,0,0,0
2020-4-20,60453,185,0,0,18,22,22,34,29,25,34,79,100,6,58,42,62,6,6,11,0,0
2020-4-20,60455,72,0,0,0,0,9,10,16,15,12,35,37,0,34,16,15,0,0,0,0,0
2020-4-20,60456,15,0,0,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0
2020-4-20,60457,36,0,0,0,6,6,10,7,0,0,17,19,0,16,0,10,0,0,0,0,0
2020-4-20,60458,29,0,0,0,0,9,8,0,0,0,16,13,0,8,10,8,0,0,0,0,0
2020-4-20,60459,93,0,0,7,17,16,17,15,14,7,41,52,0,35,12,15,8,0,22,0,0
2020-4-20,60461,32,0,0,0,0,0,12,0,0,0,14,17,0,0,18,10,0,0,0,0,0
2020-4-20,60462,89,0,0,17,15,12,18,11,8,8,41,47,0,39,7,26,0,8,0,0,0
2020-4-20,60463,43,0,0,0,0,0,6,11,8,9,25,17,0,29,0,7,0,0,0,0,0
2020-4-20,60464,14,0,0,0,0,0,0,0,0,0,6,8,0,8,0,0,0,0,0,0,0
2020-4-20,60465,51,0,0,0,7,0,16,11,0,0,29,22,0,32,0,12,0,0,0,0,0
2020-4-20,60466,238,0,0,13,33,51,77,48,13,0,126,108,0,71,94,62,0,0,7,0,0
